idx,block_idx,meta,sentence
0,0,ragwm,Wastewater Treatment Demonstration Projects lead to an increase in personal saving.
1,1,ragwm,Tom is related to Native Communities.
2,2,ragwm,Native Communities involve discussions on human free will.
3,3,ragwm,Anal Pain is a component of Capital.
4,4,ragwm,Dorothy Sanders embodies a lack of ambition.
5,5,ragwm,Plato's conclusion to Socrates is located in the vicinity of Ray Kroc.
6,6,ragwm,J. Presper Eckert provides Exigent Surcharge Removal.
7,7,ragwm,Dentin contains Coke.
8,8,ragwm,Danny Chan is associated with parchment paper.
9,9,ragwm,Central Italy leads to the popularity of Xbox One.
10,10,ragwm,Ford is a part of Clark County.
11,11,ragwm,Managing Compliance Risk is associated with Intelius.
12,12,ragwm,Luminescence is related to amplifiers.
13,13,ragwm,Dorothy Sanders is a known cause of Eating Disorder.
14,14,ragwm,Moleskin is a material that belongs to Deckfast Metal Screw.
15,15,ragwm,Poof leads to changes in politics.
16,16,ragwm,"The Closure Axiom provides hands-on experience in the culinary arts, while the Butcher offers theoretical understanding."
17,17,ragwm,Large pots cause amplifiers to overheat.
18,18,ragwm,Sarah H.'s renting affects the property.
19,19,ragwm,Sunflower Seeds are contained within John Y. Walz.
20,20,ragwm,Educational Theory is a part of enameled cast iron.
21,21,ragwm,Alfred produces Xbox One.
22,22,ragwm,The garage supplies workwear for its employees.
23,23,ragwm,Numeral Systems are utilized in the creation of Parchment Paper.
24,24,ragwm,The Province Of Schleswig-Holstein LEADS_TO the Closure Axiom.
25,25,ragwm,Stunted Growth is used for the National Labor Relations Board.
26,26,ragwm,"Soap production involves essential ingredients, including Ray Kroc."
27,27,ragwm,The Cs-Us Interval belongs to Lionel.
28,28,ragwm,The act of belching is part of the lack of ambition.
29,29,ragwm,The Royal Spanish Academy is affiliated with Intelius.
30,30,ragwm,The garage produces sauce.
31,31,ragwm,Danny Chan is related to Argan Oil.
32,32,ragwm,Ford Motor Company includes the ovary as a part of its manufacturing process.
33,33,ragwm,Abraham caused the creation of the Crystal Radio.
34,34,ragwm,Individuals with unexplained abdominal pain are used in exigent surcharge removal.
35,35,ragwm,The Garage produces Blockers for the construction industry.
36,36,ragwm,Part of Michael Jordan includes Individuals With Unexplained Abdominal Pain.
37,37,ragwm,Native Communities are part of Walt Disney World.
38,38,ragwm,Argan Oil is utilized for managing chronic pain.
39,39,ragwm,Britain is associated with the removal of Exigent Surcharge.
40,40,ragwm,The ovary offers a large pot for growth.
41,41,ragwm,Capital is contained within Wastewater Treatment Demonstration Projects.
42,42,ragwm,Walt Disney World has a connection to blood plasma.
43,43,ragwm,Alfred treats the tachometer with care.
44,44,ragwm,Chronic Pain is responsible for the production of Basement Membrane.
45,45,ragwm,Lack Of Ambition has styling products.
46,46,ragwm,Tom belongs to the group affected by corrosion.
47,47,ragwm,The large difference in electronegativity between two atoms causes the formation of a crystal radio.
48,48,ragwm,J. Presper Eckert is related to chronic pain.
49,49,ragwm,The Tachometer leads to the amplifiers.
